"KJENS1AP.CSF.Healthy.3"	"LD1"	"LD2"	"KJENS1AP.CSF.Alz.1"	"KJENS1AP.CSF.Park.3"	"KJENS1AP.CSF.Healthy.1"	"KJENS1AP.CSF.Healthy.4"	"KJENS1AP.CSF.Park.1"	"KJENS1AP.CSF.Alz.2"	"KJENS1RID.Urine.Healthy.2"	"MTEWA1.Serum.Healthy.2"	"MTEWA1.Serum.Healthy.3"	"MTEWA1.Plasma.Healthy.1"	"HDL_ProteinCpx_2"	"HDL_ProteinCpx_1"	"HDL_ProteinCpx_3"	"KJENS1RID.Saliva.Healthy.2"	"DWONG1.Saliva.Gastric.1"	"DWONG1.Saliva.Healthy.2"	"SADA1Ex.Plasma.Healthy.3"	"MTEWA1.Plasma.Healthy.3"	"DWONG1.Saliva.Healthy.3"	"DWONG1.Saliva.Gastric.3"	"KJENS1AP.CSF.Alz.4"	"KJENS1AP.CSF.Healthy.2"	"KJENS1aSAH.CSF.SubHem.1"	"KJENS1AP.CSF.Park.2"	"TPATE1.Plasma.Carcinoma.2"	"TPATE1.Plasma.Healthy.2"	"TPATE1.Plasma.Carcinoma.1"	"TPATE1.Plasma.Healthy.1"	"TPATE1.Plasma.Carcinoma.3"	"TPATE1.Plasma.Healthy.3"	"TPATE1.Plasma.Carcinoma.4"	"KJENS1AP.Serum.Alz.3"	"KJENS1AP.Serum.Park.1"	"KJENS1AP.Serum.Healthy.3"	"KJENS1IVH.CSF.IntHem.1"	"KJENS1aSAH.Plasma.SubHem.1"	"KJENS1RID.Plasma.Healthy.4"	"KJENS1RID.Plasma.Healthy.3"	"SADA1Ex.Plasma.Healthy.1"	"MBITZ1.Urine.NephSyn.1"	"MBITZ1.Urine.NephSyn.2"	"MTEWA1.Plasma.Healthy.2"	"MTEWA1.Serum.Healthy.1"	"KJENS1aSAH.Plasma.SubHem.3"	"KJENS1RID.Plasma.Healthy.2"	"KJENS1RID.Saliva.Healthy.1"	"KJENS1aSAH.CSF.SubHem.2"	"KJENS1AP.Serum.Healthy.2"	"SADA1pMI.Plasma.pMI.1"	"SADA1pMI.Plasma.pMI.2"	"KJENS1aSAH.CSF.SubHem.4"	"KJENS1IVH.CSF.IntHem.3"	"DWONG1.Saliva.Gastric.2"	"DWONG1.Saliva.Healthy.1"	"KJENS1AP.Serum.Park.3"	"SADA1Ex.Plasma.Healthy.2"	"KJENS1aSAH.Plasma.SubHem.2"	"KJENS1RID.Urine.Healthy.1"	"KJENS1RID.Plasma.Healthy.1"	"KJENS1IVH.CSF.IntHem.2"	"KJENS1AP.Serum.Healthy.1"	"KJENS1aSAH.CSF.SubHem.3"	"KJENS1AP.Serum.Alz.1"	"HD1"	"HD2"	"KJENS1AP.Serum.Park.2"	"KJENS1RID.Saliva.Healthy.3"	"KJENS1RID.Urine.Healthy.3"	"KJENS1AP.CSF.Alz.3"	"KJENS1AP.Serum.Alz.2"	"MBITZ1.Urine.NephSyn.3"	"SADA1pMI.Plasma.pMI.3"
"RP11-386I8.6:lincRNA"	0.00731491467938758	2.27048618741799e-08	0.0811799978788127	0	0.00800468818324569	0.0118547318473997	0.0121681025948546	0.00918465922227558	-1.19863845751869e-19	0.000844129975455612	0.132685569280546	0.295579931827319	0.101650874316265	2.27048618741799e-08	2.27048618741799e-08	2.27048618741799e-08	0.0261749232923745	0.164058300922793	0.187966811663255	0	0.125545927452449	0.0445106895726032	0.0130305502012927	0	0	0.000157641345325846	0.0019378827415216	0	0.0175143143440611	0.0678188189524105	0.0315024085490621	2.47351303210934e-20	0.0241571944221399	0.00531719350405451	0.0428152227241216	1.73472347597681e-18	0	0	0	0.00239466149309342	0	0	0.0131309867948404	0.014538010751933	0.00449517386928041	0.0201672885575254	0.0050511407516172	0.0161960730975813	0	0.0465547737102956	0.149616111125768	0.0044781544201196	0.153102295753568	0	-8.67361737988404e-19	0.0813988176215614	0.0084273787157805	0.313806207573621	0.430644164510573	0.266406859379178	0.0682506146553585	0.387008571665535	0.437412740718218	0.380193660957544	0.278672134876174	0.844341372272372	0.349187083361062	0.360253171940758	0.504655700527004	0.485875560671199	0.818573540435231	0.0540786936927111	0	0.251691141410302	0.0527055129239602
"RP11-267L5.1:lincRNA"	0.0129141751771132	0.0302718974241609	0.0123033004717204	-4.84672479376103e-18	0.0369304861552705	0.0291281969345484	0	0	0	0.0163482826463616	0.000435068689211919	0.00492847679488807	0.0163505934440587	2.27048618741799e-08	2.27048618741799e-08	2.27048618741799e-08	0.0215896032939316	0.0177016027594757	0.0145135818093335	0.174566695834397	0.00613633847975625	0.00199238458623742	0.0105430817410792	-3.46944695195361e-18	0.00308617539428501	0.00808089948735688	0.00946529523905515	0.00313345010324865	0.00779136816590118	0.0449502219450509	0.000120860966141583	0.00512825022851181	0.0113514603649544	0.00227372629210569	0	0.0229789531008358	0	0.00424482742841573	0.0268949471082742	0.0165816636991834	0	0.0192915164743212	0	0.000315204724032376	0.0232494370224634	0.0393935368061151	0.0105791605418776	8.32881743468695e-19	0	0.0206451236534907	0.426566649205359	0	0	0.0333520696526335	0.123766084826488	0.00293617240548889	0.00936114235143895	0.959566301790566	0.408948591510742	0.47726569962097	0.444391429054359	0.361996734173546	0.665085530192783	0.58590781669786	0.56048352288288	0.698572583936389	0.347926008208332	0.349187083361062	0.20459397702634	0.245183030478014	0.268783474449043	0.0701940439570812	0.947093510023665	0.00205654014180862	0.119429716030155
"hsa_piR_001042"	0.00196353768666378	0.0294615541332833	0.0377776870355697	0.053573341231062	0.112787341860444	0.0828614301023111	0.0183896551986116	8.67361737988404e-19	0	0.00370501022948648	0.0750638444090877	0.16385627296749	0.0920326795209375	2.27048618741799e-08	2.27048618741799e-08	2.27048618741799e-08	0	0.096117519496606	0.169862941637878	0	0.0410489828696631	0.0101621543583391	0.0381981501033012	0	0.000276375072040552	0.116543099288091	0.00220391549498363	0.0395478001558159	0.0650834885378962	0.0652755280118153	0.0246436615456801	0.00104580838494153	0.0300800916653567	0.0187088796412799	0.0663641063725202	0.0530910188805608	0.0138137131663985	0.0738303295858354	0.00563120783832425	0.0501414650327111	0	0.0748726378294615	0.184505368147409	0.00261895153079008	0.0188539716918411	0.179241601253318	0.142558273401389	8.55763586967983e-19	0.0546709675037367	0.496397419715561	0.567072228646841	0.00108121094382876	0.13760868929594	0.0265536401718846	0.0585379318141493	0.0399148965683516	0.0514972805750638	0.0589844278080719	0.187747151273959	0.190902881941628	0.0545463966308397	0.107871288981853	0.0216001545382281	0	0.081123273237078	0	0.353804071028533	0.360253171940758	0.0575891066086834	0.173418938653267	0	0.0217881656900427	0.0896721046136547	0	0
"RP11-760N9.1:lincRNA"	0.00411734333716999	2.27048618741799e-08	0.0663454510093553	0.00545239456915733	0.0420940737103863	0.00060710305820916	0	0.00747667720487021	0	0	0.0821702992457384	0.0280991138493278	0.108479209311961	2.27048618741799e-08	2.27048618741799e-08	2.27048618741799e-08	0	0.143866370346946	0.241751424108118	0	0.0405630492344438	0	0.0136223190452122	0	0	0	0	0.0513838022473319	0.077396875015583	0.392390595493101	0.134847043156728	0.0407452501332561	0.153973871948538	0.0954420887866546	0	0	0.0122137178265202	0.00352361356894134	-3.57035448294064e-20	0	0.00597782968963746	0.00969296102117107	0	0.0189443192314056	0.0234065778071443	0.0217678537497772	-5.42101086242752e-20	0.00230775039475237	-1.01233246792359e-18	0.0291085637356018	0	3.46944695195361e-18	0	0	0.0285222856475981	0.0408134396684616	0	0.111580697961694	0.139069944656712	0.12887439539585	0.00840552555192053	0.357591950308219	0.167103176737395	0.32925394755663	0.121015373551625	0.486912864495756	0.367638383366353	0.366061764434879	0.223423984286729	0.474217241714139	0.94984427981797	4.33680868994202e-19	0.132424806100077	0.0641037829255337	0.48725323596772
"CTC-297N7.8:lincRNA"	0.00538145226075236	2.27048618741799e-08	0.0635443899140432	0.0147009931908819	0.040227612409955	0.147299984026763	0.00131188678397768	0.0124258675214629	0.0120529876506966	0.0110653184205008	0.247121234681156	0.371832120512918	0.224209325540378	2.27048618741799e-08	2.27048618741799e-08	2.27048618741799e-08	0.221714605012499	0.346044396908194	0.39748364618024	0	0.272555925752731	0.0367895237734578	0	0.132134508000013	0	0.0288359733621133	0.00705524049458717	0	0.00808090041362283	0.0653341542433201	0	2.70375963156335e-19	0.0097534065169006	0.0199480715504789	0.0268987269333081	0.0320719148696901	0.0230382878699915	0.02811064526263	0	0.00652410101459742	0.0065420842081572	0.0147223857161514	0.173393162966921	0	0	0.00468847085943619	0.0685524773551034	0.0697848245290296	0.103097559772139	0.0720276074349951	0	0	0.0790091649539239	0	0	0.0252827814271962	0	0.224398992785882	0.126423637466909	0.114663470511067	0.133627827200577	0.148541741214013	0.227979109228758	0.267125276611365	0.21541877994225	0.440039898018375	0.405627790655453	0.403418313104661	0.167842429187551	0.301956370183806	0.571212813825394	0.0119675031032944	0.0928913512202204	0.205441747443772	0.0249361763955444
"hsa-miR-487a-3p"	0	0.0517703871430141	0.0495660767579043	0.0876446270847862	0.126841469965095	0.512523921561616	0	0.0046190539772652	-8.09144995328912e-21	0.00107406240536625	0	0	0	2.27048618741799e-08	2.27048618741799e-08	2.27048618741799e-08	0.0167103216184271	0.00331368427987653	2.27048618741798e-08	0	0	2.27048618741799e-08	-2.71050543121376e-20	0.0464575329341919	0.0794765127718045	0.455233880263474	0	0.106314559543161	0.131511764761136	0	0.221775847397038	0.287431105354645	0.158600328833189	0.15789704546566	0.0252518397721516	0.0396629965335566	0.0216775100818356	0.10146285004917	0.0116858394681312	0.0257869921682594	0.0246113313270268	0.0561523448844348	0.0137864864070468	0	0.0753939041035066	0.160359254166454	0.27978454658776	0.502181803591293	0.027514830951266	0.01583218966505	0	0.0280622452177314	0	0	0	0	2.27048618741799e-08	0	-6.49763978974912e-19	0	0	0	-7.10360398233816e-19	1.13161166584418e-19	3.46944695195361e-18	0	0.408344411131786	0.422498329243066	1.79711195787236e-18	0	0	0	2.87589242180169e-19	0.213334329093459	0
"RBFADN:lincRNA"	0.00541464850717346	0.0250142475649168	0.0147097580531371	0.00767610122936616	0.0257398364583932	0.0521580269369566	0	0	1.73472347597681e-18	0.00102204822102733	0.370371467494608	0.229425767479649	0.182613453858432	2.27048618741799e-08	2.27048618741799e-08	2.27048618741799e-08	0.298344660438352	0.359210102334229	0.332095296414657	0.0495154464098141	0.310965154869032	0.0902381849646073	0.0251104323312194	0.0134470794069248	0	6.5696855868244e-20	0.00235926014063128	0.00285069551968142	0.000849267784426145	0.0725706464605333	0.0202766780186341	0.00252517884855398	0.0100410270733871	0	0.0073621990636563	0.0211766428443134	0.0228613960978204	0.000640596018235217	0.000370699492033559	0.0298361619229671	0	0	0	0.0425622473518967	0.00284957093141261	0.00692076749203196	0.00747074363727778	1.93676434160617e-18	-1.35525271560688e-20	0.0211826271056721	0.100476326543047	0	0.122222196091327	1.0842021724855e-19	0	0.0443869811443106	0	0.360150232110129	0.284919759858367	0.240755129496128	0.638025834143592	0.301293232430405	0.270480156844513	0.277385478086935	0.299850292965099	0.471510368075178	0.411612954047093	0.419892878921403	0.0939008479662627	0.313927286239695	0.332141986918997	0.0334227357720677	0.152982846936563	0.347718624639893	0.144530672439193
"LINC01067:lincRNA"	0.0187247539620886	2.27048618741799e-08	0.0495054145388812	0.014959628432643	0.0708550716820338	0.00912286214813462	0	0	0.0128656248045752	0.018914677121956	0.116308664892197	0.151069077763023	0.0143666297421541	2.27048618741799e-08	2.27048618741799e-08	2.27048618741799e-08	0.0533790490214325	0.181399956019789	0.273314723496827	0	0.0611805282514521	0.010795172909724	0.0109812690070029	0	3.67132390126304e-20	0	0	0.00216485172967091	0.010028838147966	0.0853602176550105	1.94565271192489e-05	0	0.00611837904407518	0.0187877793733731	0.0481780676584255	0.00426605742809781	0.0207958363476268	3.46944695195361e-18	0	0.00884915842480338	0.0288575424576742	0.0224151339724688	8.93977841297961e-18	0	0.00942804723999422	0	0.0142391494201953	0	0.00301211835265439	0.0204162284610897	0	0	0.0712408447887225	0	0.00146841764481948	0.0139918732113592	0.0120096530303542	0.186440995485628	0.0832675463373683	0.328999531455377	0.224266282375528	0.218768253962374	0.417373344244322	0.528442614354794	0.38711763282846	0.767175341249797	0.438939267515509	0.435002692146288	0.657681145170332	0.374000541710676	0.663503205924037	0.0162878694412255	0.155456863286845	1	0.0174460651397808
"RP11-1036E20.9:lincRNA"	0.00819965941361433	2.27048618741799e-08	0.101197025050055	1.20851397175152e-18	0.0177111477430785	0	0	0	0.0494682714215129	0.0118186924913094	0.0470548441918039	0.400092284448506	-1.21645399171865e-18	2.27048618741799e-08	2.27048618741799e-08	2.27048618741799e-08	0.109281358985798	0.167221180908669	0.205930297014857	0.0629995610030662	0.467449420717634	0.0268754784618981	0.028234302584126	0	0.0160800834249864	0.0274170017145386	0.00190031332206499	0	0.0123360481724589	0.0502965881063658	0	2.7228402183604e-19	0.0052771656933432	0.068151989267615	0.00927822381019119	0	0.00834421881296382	0.000755449646124853	0	0.00054764421402999	0	0.014176094015207	0.0478464221492266	0	0	0.0264183893491144	0.0175625570628549	0.0236300674687666	0	0.00308685071685565	0.161716175280292	0	0.115862124139155	0	0	-3.46944695195361e-18	0	0.142243101631056	0.0302179304618916	0.184578920083481	0.068218026103065	0.240565533535756	0.322817900391162	0.216017752740955	0.323558873130671	0.534737473585178	0.477572736454068	0.452094673735409	0.303289866357283	0.450683140594687	0.866990294734664	3.30532092900927e-19	0	0.241557379077439	0
"SNORA3:snoRNA"	1.42194321321823e-19	0.0851218405199242	0.0796359974381984	0.0583270099878165	0.0558500278995665	0.106185455825569	0	0.006572332073319	0.00929151602258609	0.00820503772259184	0.163418017810928	0.482500582625951	0.0317100846169958	2.27048618741799e-08	2.27048618741799e-08	2.27048618741799e-08	0.109907484009594	0.171636920425078	0.186738539765332	0	0.0238558240552215	0.00577823302742752	0.0132767664060578	0.0158128205221448	0.130111599899117	0.198533638829192	0.0169851719019831	0.0580380011928313	0.0717642699620282	0.220597837553214	0.230796285610325	0.162754874843152	0.202725693221001	0.182989013246733	0.0308132523064473	0.020055773935647	0	0.0208542501879851	0.0286705853150084	0.00476575966241049	0.00216521317387109	0.0041004195674667	0	0.00341873651563757	0.00140535257277898	0.138248715850243	0.0924127235002214	0.0136152689359552	0.1722523427016	0.507559294824705	0.411236954150948	0	0.165619064907027	0	0	0.0390027368209313	0.064925421371557	0.0198001138451137	-2.16840434497101e-19	0.0494402477482222	0	0.00931677980913297	0.0113576674497871	0.0138041130039363	0.0574427612913815	3.46944695195361e-18	0.498585872442126	0.488025081925495	-8.67361737988404e-19	0.332156788255494	0.0638967309411724	0.0186535832269302	0.0561513721048929	0.0231005353266319	0.0253955834718637
